well|latitude|longitude|altitude.ft
1|28.63811|34.798061|257
2|28.603468|34.810458|1652
3|28.575879|34.844785|924
4|28.620362|34.876969|1815
5|28.560586|34.990046|1408
6|28.602789|34.992551|2640
7|28.488311|34.976893|956
8|28.572316|34.807835|1312
9|28.438361|34.786616|595
10|28.553648|34.903739|2291
11|28.651337|34.876725|3168
12|28.584441|35.186706|2307
13|28.512148|34.957213|1089
14|28.448275|34.93563|864
15|28.625897|35.051013|1494
16|28.612935|35.218209|2284
17|28.54015|35.065537|1167
18|29.248557|35.017044|1032
19|29.235329|34.969706|279
20|29.291152|34.977884|403
21|29.336922|34.981922|552
22|29.319727|35.032035|1245
23|29.24509|35.185575|2831
